key
-able
"-acho, cha"
"azoriniano, na"
"azotado, da"
"azotador, ra"
"azuano, na"
"azuayo, ya"
"azucarado, da"
"azucarero, ra"
"azufrado, da"
"azufrador, ra"
"azufrero, ra"
"azufroso, sa"
"azulado, da"
"azulejero, ra"
"azulejo, ja"
"azulenco, ca"
"azulino, na"
"azuloso, sa"
"azulón, na"
"azumbrado, da"
"azuzador, ra"
"aéreo, a"
"añadido, da"
"añafilero, ra"
"añejo, ja"
"añero, ra"
"añino, na"
"añojo, ja"
"añoso, sa"
"añudador, ra"
"aórtico, ca"
"babazorro, rra"
"babiano, na"
"babilonio, nia"
"babilón, na"
"babilónico, ca"
"baboso, sa"
"babuchero, ra"
"babélico, ca"
"bacaladero, ra"
"bacano, na"
"bachaco, ca"
"bachatero, ra"
"bacheado, da"
"bachiano, na"
"bachiller, ra"
"bacinero, ra"
"baciyélmico, ca"
"baconiano, na"
"bacteriano, na"
"bacteriológico, ca"
"bacteriostático, ca"
"bacteriólogo, ga"
"bactriano, na"
"bacán, na"
"badajoceño, ña"
"badalonés, sa"
"badanado, da"
"baenero, ra"
"baezano, na"
"bagayero, ra"
"bagrero, ra"
"bagual, la"
"bahameño, ña"
"bahamés, sa"
"bahiano, na"
"bahúno, na"
"baifo, fa"
"bailadero, ra"
"bailador, ra"
"bailaor, ra"
"bailarín, na"
"bailongo, ga"
"bailón, na"
"bajacaliforniano, na"
"bajero, ra"
"bajo, ja"
"bajoaragonés, sa"
"bajuno, na"
"bajío, a"
"balador, ra"
"baladrero, ra"
"baladrón, na"
"balanceador, ra"
"balandrón, na"
"balaustrado, da"
"balcanorrománico, ca"
"balcánico, ca"
"baldado, da"
"baldo, da"
"baldonador, ra"
"baldono, na"
"baldío, a"
"baleador, ra"
"baleario, ria"
"baleárico, ca"
"balinés, sa"
"ballenato, ta"
"ballenero, ra"
"balletístico, ca"
"balneario, ria"
"balompédico, ca"
"baloncestístico, ca"
"balonmanístico, ca"
"balsamináceo, a"
"balsero, ra"
"balso, sa"
"balsámico, ca"
"balto, ta"
"baltoeslavo, va"
"balzaquiano, na"
"balístico, ca"
"bambollero, ra"
"bananero, ra"
"banastero, ra"
"bancario, ria"
"bandeado, da"
"banderillero, ra"
"banderizo, za"
"bandero, ra"
"bandido, da"
"bandolero, ra"
"banilejo, ja"
"banquero, ra"
"banquetero, ra"
"baqueano, na"
"baquiano, na"
"baracaldés, sa"
"barahonero, ra"
"barajador, ra"
"baratador, ra"
"baratero, ra"
"baratillero, ra"
"barato, ta"
"baratón, na"
"barbado, da"
"barbaresco, ca"
"barbastrino, na"
"barbero, ra"
"barbiblanco, ca"
"barbicano, na"
"barbicastaño, ña"
"barbiespeso, sa"
"barbihecho, cha"
"barbilampiño, ña"
"barbiluengo, ga"
"barbimoreno, na"
"barbinegro, gra"
"barbirrapado, da"
"barbirrojo, ja"
"barbirrubio, bia"
"barbirrucio, cia"
"barbitaheño, ña"
"barbiteñido, da"
"barbitonto, ta"
"barbitúrico, ca"
"barbián, na"
"barbudo, da"
"barbullón, na"
"barbárico, ca"
"barbón, na"
"barcelonés, sa"
"barceno, na"
"barchilón, na"
"barcino, na"
"bardado, da"
"bargueño, ña"
"barillero, ra"
"barinés, sa"
"bariátrico, ca"
"barnizador, ra"
"barojiano, na"
"barométrico, ca"
"barquero, ra"
"barquillero, ra"
"barquisimetano, na"
"barrado, da"
"barragán, na"
"barrancoso, sa"
"barranquillero, ra"
"barraquero, ra"
"barrealoso, sa"
"barredero, ra"
"barredor, ra"
"barrenado, da"
"barrendero, ra"
"barrigudo, da"
"barrigón, na"
"barrillero, ra"
"barriobajero, ra"
"barrioso, sa"
"barriotero, ra"
"barroco, ca"
"barroso, sa"
"barruntador, ra"
"barullento, ta"
"barullero, ra"
"barzón, na"
"barón, nesa"
"bascoso, sa"
"basculador, ra"
"basculero, ra"
"baseláceo, a"
"basilio, lia"
"basquetbolístico, ca"
"bastardo, da"
"bastecedor, ra"
"bastetano, na"
"bastitano, na"
"basto, ta"
"bastonero, ra"
"basurero, ra"
"basáltico, ca"
"basófilo, la"
"batallador, ra"
"batallaroso, sa"
"batalloso, sa"
"batasuno, na"
"batato, ta"
"bateador, ra"
"batelero, ra"
"batero, ra"
"batido, da"
"batidor, ra"
"batimétrico, ca"
"batipelágico, ca"
"batueco, ca"
"baturro, rra"
"batutero, ra"
"bausero, ra"
"bausán, na"
"bauzador, ra"
"bayamonés, sa"
"bayamés, sa"
"bayano, na"
"bayo, ya"
"bayonés, sa"
"bayunco, ca"
"bazo, za"
"bazuquero, ra"
"bañador, ra"
"bañero, ra"
"bañezano, na"
"beamontés, sa"
"bearnés, sa"
"beato, ta"
"beatífico, ca"
"bebe, ba"
"bebedero, ra"
"bebedizo, za"
"bebedor, ra"
"beberrón, na"
"bebido, da"
"bebo, ba"
"becado, da"
"becario, ria"
"becerro, rra"
"becqueriano, na"
"bedel, la"
"beduino, na"
"beethoveniano, na"
"befo, fa"
"begardo, da"
"begoniáceo, a"
"beguino, na"
"beisbolero, ra"
"beisbolístico, ca"
"bejarano, na"
"bejerano, na"
"bel, la"
"belfo, fa"
"beliceño, ña"
"belicoso, sa"
"bellaco, ca"
"bellido, da"
"bello, lla"
"bellotero, ra"
"belígero, ra"
"belísono, na"
"bembo, ba"
"bembudo, da"
"bembón, na"
"bemolado, da"
"benaventino, na"
"bencinero, ra"
"bendecidor, ra"
"bendito, ta"
"benedictino, na"
"benefactor, ra"
"beneficiador, ra"
"beneficiario, ria"
"beneficioso, sa"
"benemérito, ta"
"beniano, na"
"benigno, na"
"benino, na"
"beninés, sa"
"benito, ta"
"benjamín, na"
"bentónico, ca"
"benzoico, ca"
"benéfico, ca"
"benévolo, la"
"beocio, cia"
"beodo, da"
"berberidáceo, a"
"berberisco, ca"
"berberídeo, a"
"bercero, ra"
"berciano, na"
"bereco, ca"
"berengario, ria"
"berengo, ga"
"berenjenado, da"
"bergadano, na"
"bergadán, na"
"bergamasco, ca"
"bergante, ta"
"berlanguiano, na"
"berlinés, sa"
"bermejeño, ña"
"bermejizo, za"
"bermejo, ja"
"bermejón, na"
"bermudeño, ña"
"bernardo, da"
"bernés, sa"
"berrejo, ja"
"berrendo, da"
"berreón, na"
"berrinchudo, da"
"berroqueño, ña"
"berón, na"
bestializarse
"besucador, ra"
"besucón, na"
"besuguero, ra"
"besuqueador, ra"
"betlehemítico, ca"
"betlemítico, ca"
"betuláceo, a"
"betuminoso, sa"
"beudo, da"
"bezoárdico, ca"
"bezoárico, ca"
"bezudo, da"
"biafreño, ña"
"biansado, da"
"bibliofílico, ca"
"bibliográfico, ca"
"bibliotecario, ria"
"bibliotecológico, ca"
"bibliotecólogo, ga"
"bibliófilo, la"
"bibliógrafo, fa"
"bibliómano, na"
"bicampeón, na"
"bicarbonatado, da"
"bicatenario, ria"
"bichino, na"
"bichoco, ca"
"bichozno, na"
"bichín, na"
"bicilíndrico, ca"
"biconvexo, xa"
"bicéfalo, la"
"bicóncavo, va"
"bielorruso, sa"
"bienamado, da"
"bienaventurado, da"
"bienfamado, da"
"bienfechor, ra"
"bienfortunado, da"
"bienhablado, da"
"bienhadado, da"
"bienhechor, ra"
"bienhumorado, da"
"bienintencionado, da"
"bienmandado, da"
"bienquisto, ta"
"bienvenido, da"
"bifloro, ra"
"bifurcado, da"
"bifásico, ca"
"bigardo, da"
"bigarrado, da"
"bignoniáceo, a"
"bigotudo, da"
"bilabiado, da"
"bilbaíno, na"
"bilbilitano, na"
"biliario, ria"
"bilioso, sa"
"billarístico, ca"
"billetado, da"
"billetero, ra"
"billonario, ria"
"billonésimo, ma"
"bilobulado, da"
"biloculado, da"
"bilítero, ra"
"bimano, na"
"bimetálico, ca"
"bimilenario, ria"
"biministro, tra"
"binador, ra"
"binario, ria"
"binguero, ra"
"bio-, -bio, bia"
"biobibliográfico, ca"
"bioclimático, ca"
"biodinámico, ca"
"bioeléctrico, ca"
"bioenergético, ca"
"biofísico, ca"
"biogenético, ca"
"biogeográfico, ca"
"biogeógrafo, fa"
"biografiado, da"
"biográfico, ca"
"bioinformático, ca"
"biológico, ca"
"biomecánico, ca"
"biomédico, ca"
"biométrico, ca"
"bioquímico, ca"
"biosanitario, ria"
"biotecnológico, ca"
"biotecnólogo, ga"
"biotipológico, ca"
"bioético, ca"
"bipartido, da"
"bipartito, ta"
"bipontino, na"
"birlador, ra"
"birmano, na"
"biro, ra"
"birrioso, sa"
"bisabuelo, la"
"bisayo, ya"
"bisbirindo, da"
"bisector, triz"
"bisilábico, ca"
"bisnieto, ta"
"bisojo, ja"
"bisoño, ña"
"bisulco, ca"
"bisunto, ta"
"bisutero, ra"
"bisílabo, ba"
"bitinio, nia"
"bitneriáceo, a"
"bitongo, ga"
"bituminado, da"
"bituminoso, sa"
"bitínico, ca"
"bivalvo, va"
"bivariado, da"
"bivitelino, na"
"bixáceo, a"
"bixíneo, a"
"biyectivo, va"
"bizantino, na"
"bizarro, rra"
"bizbirindo, da"
"bizco, ca"
"bizcochero, ra"
"bizcoreto, ta"
"bizcorneado, da"
"bizcorneto, ta"
"bizcuerno, na"
"biznieto, ta"
"biógrafo, fa"
"biólogo, ga"
"biónico, ca"
"biótico, ca"
"blancazo, za"
"blanco, ca"
"blancote, ta"
"blancuzco, ca"
"blandeador, ra"
"blandicioso, sa"
"blando, da"
"blanducho, cha"
"blandujo, ja"
"blanduzco, ca"
"blanqueador, ra"
"blanquecino, na"
"blanquero, ra"
"blanquillo, lla"
"blanquinegro, gra"
"blanquinoso, sa"
"blanquizco, ca"
"blanquizo, za"
"blasfemador, ra"
"blasfematorio, ria"
"blasfemo, ma"
"blasonado, da"
"blasonador, ra"
"blavo, va"
"blenorrágico, ca"
"blindado, da"
"bloguero, ra"
"blondo, da"
"bloqueador, ra"
"blufileño, ña"
"boaqueño, ña"
"bobalicón, na"
"bobo, ba"
"bocacho, cha"
"bocatoreño, ña"
"bochinchero, ra"
"bochornoso, sa"
"bocinegro, gra"
"bocudo, da"
"bocón, na"
"bodegonero, ra"
"bodeguero, ra"
"bofo, fa"
"bogador, ra"
"bogomilo, la"
"bogotano, na"
"bohemiano, na"
"bohemio, mia"
"bohemo, ma"
"bohémico, ca"
"boicoteador, ra"
"bolacero, ra"
"bolañego, ga"
"bolero, ra"
"boletero, ra"
"bolichero, ra"
"bolineador, ra"
"bolinero, ra"
"bolivariano, na"
"boliviano, na"
"bollero, ra"
"bollonado, da"
"bolo, la"
"bololo, la"
"boloñés, sa"
"bolseador, ra"
"bolsero, ra"
"boludo, da"
"bombacáceo, a"
"bombardero, ra"
"bombero, ra"
"bombo, ba"
"bombáceo, a"
"bombástico, ca"
"bon, na"
"bonachón, na"
"bonanzoso, sa"
"bonaventuriano, na"
"bondadoso, sa"
"bondoso, sa"
"bonetero, ra"
"bongosero, ra"
"bonico, ca"
"bonificativo, va"
"bonillo, lla"
"bonitero, ra"
"bonito, ta"
"bono, na"
bonoloto
"bonísimo, ma"
"boquiabierto, ta"
"boquiancho, cha"
"boquiangosto, ta"
"boquiblando, da"
"boquiconejuno, na"
"boquiduro, ra"
"boquiflojo, ja"
"boquifresco, ca"
"boquifruncido, da"
"boquihendido, da"
"boquihundido, da"
"boquillero, ra"
"boquinegro, gra"
"boquino, na"
"boquirrasgado, da"
"boquirroto, ta"
"boquirrubio, bia"
"boquiseco, ca"
"boquisucio, cia"
"boquisumido, da"
"boquitorcido, da"
"boquituerto, ta"
"boratero, ra"
"borbónico, ca"
"borceguinero, ra"
"borcelano, na"
"bordador, ra"
"bordelés, sa"
"bordonero, ra"
"borgeano, na"
"borgiano, na"
"borgoñés, sa"
"borgoñón, na"
"boricado, da"
"borincano, na"
"borinqueño, ña"
"borlotero, ra"
"borneadizo, za"
"bornero, ra"
"borracho, cha"
"borrachuzo, za"
"borrachín, na"
"borrado, da"
"borrador, ra"
"borragináceo, a"
"borragíneo, a"
"borrascoso, sa"
"borrasquero, ra"
"borrego, ga"
"borreguero, ra"
"borrico, ca"
"borriquero, ra"
"borriqueño, ña"
"borro, rra"
"borrominesco, ca"
"borroso, sa"
"borroñoso, sa"
"borundés, sa"
"boruquiento, ta"
"boscoso, sa"
"boshito, ta"
"bosniaco, ca"
"bosnio, nia"
"bosníaco, ca"
"bosquimano, na"
"bosquimán, na"
"bostezador, ra"
"bostoniano, na"
"botado, da"
"botador, ra"
"botellero, ra"
"boticario, ria"
"botiguero, ra"
"botijero, ra"
"botijón, na"
"botinero, ra"
"botiondo, da"
"boto, ta"
"botocudo, da"
"botonazo, za"
"botonero, ra"
"botoso, sa"
"botsuano, na"
"botulínico, ca"
"botánico, ca"
"botón, na"
"bovino, na"
"boxeador, ra"
"boxito, ta"
"boxístico, ca"
"boyerizo, za"
"boyero, ra"
"boyuno, na"
boîte
"brabanzón, na"
"braceador, ra"
"bracero, ra"
"braco, ca"
"bragado, da"
"brahmánico, ca"
"bramador, ra"
"branquífero, ra"
"braquiador, ra"
"braquicéfalo, la"
"braquiocefálico, ca"
"brasilado, da"
"brasilero, ra"
"brasileño, ña"
"bravato, ta"
"braveador, ra"
"bravo, va"
"bravoso, sa"
"bravucón, na"
"bravío, a"
"brechtiano, na"
"breco, ca"
"breguero, ra"
"breteador, ra"
"bretoniano, na"
"bretón, na"
"breñoso, sa"
"briago, ga"
"bribiático, ca"
"bribonesco, ca"
"bribón, na"
"brigantino, na"
"brillador, ra"
"brilloso, sa"
"brincador, ra"
"brindador, ra"
"briofito, ta"
"brioso, sa"
"briscado, da"
"britano, na"
"británico, ca"
"briznoso, sa"
"briófito, ta"
"brocado, da"
"brocalado, da"
"brochado, da"
"brocho, cha"
"brollador, ra"
"bromatológico, ca"
"bromatólogo, ga"
"bromeliáceo, a"
"bromoso, sa"
"bronceado, da"
"bronceador, ra"
"bronco, ca"
"broncodilatador, ra"
"broncíneo, a"
"bronquítico, ca"
"brotado, da"
"brozno, na"
"brozoso, sa"
"brujero, ra"
"brujesco, ca"
"brujo, ja"
"brumador, ra"
"brumoso, sa"
"bruneano, na"
"bruno, na"
"brusco, ca"
"brutesco, ca"
"bruto, ta"
"bruñido, da"
"bruñidor, ra"
"buboso, sa"
"bubático, ca"
"bubónico, ca"
"bucanero, ra"
"buceador, ra"
"buche, cha"
"buchón, na"
"bucloso, sa"
"bucofaríngeo, a"
"bucólico, ca"
"buenaventuriano, na"
"buenazo, za"
"bueno, na"
"bueyuno, na"
"bufalino, na"
"bufo, fa"
"bufonesco, ca"
"bufón, na"
"buhonero, ra"
"buido, da"
"buitrero, ra"
"bulboso, sa"
"bullanguero, ra"
"bullicioso, sa"
"bullidor, ra"
"bulímico, ca"
"bumangués, sa"
"burdelero, ra"
"burdelesco, ca"
"burdo, da"
"burebano, na"
"burgalés, sa"
"burgomaestre, tra"
"burgueño, ña"
"burgundio, dia"
"burgués, sa"
"burgés, sa"
"burielado, da"
"burilador, ra"
"burkinés, sa"
"burladero, ra"
"burlador, ra"
"burlesco, ca"
"burlón, na"
"burocrático, ca"
"burrero, ra"
"burriciego, ga"
"burro, rra"
"burseráceo, a"
"burundés, sa"
"buruquiento, ta"
"buscador, ra"
"buscón, na"
"busero, ra"
"butanero, ra"
"butanés, sa"
"butifarrero, ra"
"butiondo, da"
"butiroso, sa"
"butomeo, a"
"butomáceo, a"
"butronero, ra"
"butuco, ca"
"buxáceo, a"
"buzo, za"
"buñolero, ra"
"buñuelero, ra"
"buñueliano, na"
"byroniano, na"
"báltico, ca"
"báquico, ca"
"bárbaro, ra"
"bárico, ca"
"básico, ca"
"bástulo, la"
"bátavo, va"
"bávaro, ra"
"bélgico, ca"
"bélico, ca"
"béquico, ca"
"bético, ca"
"bíblico, ca"
"bífero, ra"
"bífido, da"
"bígamo, ma"
"bímano, na"
"bínubo, ba"
"bípedo, da"
"bóvido, da"
"búbalo, la"
"búdico, ca"
"búfalo, la"
"búfano, na"
"búlgaro, ra"
"búlico, ca"
"caacupeño, ña"
"caaguaceño, ña"
"caazapeño, ña"
"cabalero, ra"
"cabalgador, ra"
"cabalino, na"
"caballerango, ga"
"caballeresco, ca"
"caballerizo, za"
"caballero, ra"
"caballeroso, sa"
"caballuno, na"
"cabalístico, ca"
"cabaretero, ra"
"cabañero, ra"
"cabeceador, ra"
"cabecero, ra"
"cabeciancho, cha"
"cabeciblanco, ca"
"cabeciduro, ra"
"cabedero, ra"
"cabellado, da"
"cabelludo, da"
"cabero, ra"
"cabestrero, ra"
"cabezalero, ra"
"cabezcaído, da"
"cabezorro, rra"
"cabezudo, da"
"cabezón, na"
"cabido, da"
"cabildero, ra"
"cabileño, ña"
"cabinero, ra"
"cabizbajo, ja"
"cabizcaído, da"
"cabizmordido, da"
"cablegráfico, ca"
"cableoperador, ra"
"cablero, ra"
"caboverdiano, na"
"cabrerizo, za"
"cabrero, ra"
"cabritero, ra"
"cabrito, ta"
"cabrituno, na"
"cabruno, na"
"cabrío, a"
"cabrón, na"
"cacahuatero, ra"
"cacahuero, ra"
"cacaotero, ra"
"cacarañado, da"
"cacareador, ra"
"cacarico, ca"
"cacarizo, za"
"cacaseno, na"
"cacereño, ña"
"cachaciento, ta"
"cachaco, ca"
"cachador, ra"
"cachanchán, na"
"cachapoalino, na"
"cacharrero, ra"
"cacharriento, ta"
"cachazudo, da"
"cachetero, ra"
"cachetudo, da"
"cachetón, na"
"cachicuerno, na"
"cachicán, na"
"cachigordo, da"
"cachimbeado, da"
"cachimbero, ra"
"cachimbón, na"
"cachinero, ra"
"cachiporrero, ra"
"cachipuco, ca"
"cachivachero, ra"
"cacho, cha"
"cachondo, da"
"cachopín, na"
"cachorro, rra"
"cachuchudo, da"
"cachudo, da"
"cachupín, na"
"cachureco, ca"
"cachurero, ra"
"cacique, ca"
"cacofónico, ca"
"cacoquimio, mia"
"cacoquímico, ca"
"cacreco, ca"
"cactáceo, a"
"cadaveroso, sa"
"cadavérico, ca"
"cadañego, ga"
"cadañero, ra"
"cadencioso, sa"
"cadenero, ra"
"caderudo, da"
"caderón, na"
"caducifolio, lia"
"caduco, ca"
"caedizo, za"
"cafesero, ra"
"cafesoso, sa"
"cafetalero, ra"
"cafetero, ra"
"caficultor, ra"
"cagado, da"
"cagón, na"
"cagüeño, ña"
"cairino, na"
"caitudo, da"
"cajabambino, na"
"cajamarquino, na"
"cajatambino, na"
"cajero, ra"
"cajonero, ra"
"calabacero, ra"
"calabrés, sa"
"calador, ra"
"calagurritano, na"
"calahorrano, na"
"calahorreño, ña"
"calamarqueño, ña"
"calambuco, ca"
"calameño, ña"
"calamitoso, sa"
"calamocano, na"
"calancho, cha"
"calanchín, na"
"calandraco, ca"
"calasancio, cia"
"calato, ta"
"calatoso, sa"
"calatraveño, ña"
"calatravo, va"
"calaño, ña"
"calañés, sa"
"calcado, da"
"calcador, ra"
"calcedonio, nia"
"calcetero, ra"
"calceto, ta"
"calchudo, da"
"calchón, na"
"calcinador, ra"
"calcográfico, ca"
"calcolítico, ca"
"calculador, ra"
"calculatorio, ria"
"calculoso, sa"
"calcáreo, a"
"calcógrafo, fa"
"caldaico, ca"
"caldeo, a"
"calderoniano, na"
"caldoso, sa"
"caldudo, da"
"caledoniano, na"
"caledonio, nia"
"calefactor, ra"
"caleidoscópico, ca"
"calentador, ra"
"calentano, na"
"calentito, ta"
"calentorro, rra"
"calenturiento, ta"
"calenturoso, sa"
"calentísimo, ma"
"calentón, na"
"calero, ra"
"calesero, ra"
"caletero, ra"
"caletrero, ra"
"caleño, ña"
"calibrador, ra"
"caliculado, da"
"calidonio, nia"
"calidoscópico, ca"
"calificado, da"
"calificador, ra"
"calificativo, va"
"californiano, na"
"californio, nia"
"califórnico, ca"
"caliginoso, sa"
"caligráfico, ca"
"calimoso, sa"
"calinoso, sa"
"calipédico, ca"
"calizo, za"
"callado, da"
"callador, ra"
"callejero, ra"
"callialto, ta"
"calloso, sa"
"calmado, da"
"calmo, ma"
"calmoso, sa"
"calmuco, ca"
"calmudo, da"
"calocéfalo, la"
"calofilo, la"
"calorimétrico, ca"
"caloroso, sa"
"calorífero, ra"
"calorífico, ca"
"calorífugo, ga"
"caloso, sa"
"calpamulo, la"
"calqueño, ña"
"caluguiento, ta"
"calumbriento, ta"
"calumniador, ra"
"calumnioso, sa"
"caluroso, sa"
"calverizo, za"
"calvo, va"
"calzado, da"
"calzonudo, da"
"calífero, ra"
"calígrafo, fa"
"calípico, ca"
"calóptero, ra"
"calórico, ca"
"camagüeyano, na"
"camaján, na"
"camaleónico, ca"
"camandulero, ra"
"camanejo, ja"
"camarero, ra"
"camargueño, ña"
"camariento, ta"
"camarillesco, ca"
"camaronero, ra"
"camarotero, ra"
"camarógrafo, fa"
"camarón, na"
"camastrón, na"
"cambado, da"
"cambalachero, ra"
"camberrano, na"
"cambeto, ta"
"cambiadizo, za"
"cambiado, da"
"cambiador, ra"
"cambiario, ria"
"camboyano, na"
"cambrayado, da"
"cambriano, na"
"cambujo, ja"
"cambullonero, ra"
"camelador, ra"
"camelieo, a"
"camellero, ra"
"camello, lla"
"camelotado, da"
"camelístico, ca"
"camerano, na"
"camero, ra"
"camerunés, sa"
"camerístico, ca"
"camillero, ra"
"camilucho, cha"
"caminador, ra"
"caminero, ra"
"camionero, ra"
"camireño, ña"
"camiseado, da"
"camisero, ra"
"camito-semítico, ca"
"camitosemítico, ca"
"camorrero, ra"
"camotero, ra"
"camotudo, da"
"campanero, ra"
"campanillero, ra"
"campano, na"
"campanudo, da"
"campanuláceo, a"
"campanólogo, ga"
"campechano, na"
"camperero, ra"
"campero, ra"
"campesino, na"
"campeño, ña"
"campeón, na"
"campirano, na"
"campiñés, sa"
"campoamorino, na"
"campogibraltareño, ña"
"camporruteño, ña"
"camposino, na"
"campuroso, sa"
"campurriano, na"
"campuruso, sa"
"campés, sa"
"camulián, na"
"camítico, ca"
"canabíneo, a"
"canaco, ca"
"canalado, da"
"canalero, ra"
"canallesco, ca"
"cananeo, a"
"canaricultor, ra"
"canario, ria"
"canarión, na"
"canastero, ra"
"canastillero, ra"
"cancaneado, da"
"cancano, na"
"cancanoso, sa"
"cancelador, ra"
"cancerado, da"
"cancerbero, ra"
"canceriano, na"
"cancerológico, ca"
"canceroso, sa"
"cancerígeno, na"
"cancerólogo, ga"
"canchero, ra"
"cancilleresco, ca"
"cancroideo, a"
"cancín, na"
"candajón, na"
"candeledano, na"
"candelejón, na"
"candidato, ta"
"candongo, ga"
"candonguero, ra"
"candoroso, sa"
"canducho, cha"
"canelado, da"
"canelo, la"
"caneláceo, a"
"cangrejero, ra"
"cangroso, sa"
"canibalesco, ca"
"canibalístico, ca"
"canido, da"
"canijo, ja"
"canillado, da"
"canillero, ra"
"canilludo, da"
"canino, na"
"canjilón, na"
"cannabáceo, a"
"cannáceo, a"
"cano, na"
"canoero, ra"
"canoro, ra"
"canoso, sa"
"cansado, da"
"cansador, ra"
"cansadón, na"
"cansino, na"
"canso, sa"
"cansío, a"
"cansón, na"
"cantado, da"
"cantador, ra"
"cantalinoso, sa"
"cantaor, ra"
"cantarero, ra"
"cantarín, na"
"cantautor, ra"
"canterano, na"
"canteño, ña"
"cantinero, ra"
"cantinflero, ra"
"cantinflesco, ca"
"cantinflérico, ca"
"cantitativo, va"
"cantonado, da"
"cantonero, ra"
"cantonés, sa"
"cantor, ra"
"cantoso, sa"
"cantábrico, ca"
"canudo, da"
"canuto, ta"
"canáceo, a"
"canónico, ca"
"capachero, ra"
"capacho, cha"
"capadocio, cia"
"capador, ra"
"caparidáceo, a"
"caparídeo, a"
"capataz, za"
"capcioso, sa"
"capeador, ra"
"caperuzado, da"
"caperuzo, za"
"capicholado, da"
"capiller, ra"
"capillero, ra"
"capilludo, da"
"capinoteño, ña"
"capirotado, da"
"capitaleño, ña"
"capitalino, na"
"capitidisminuido, da"
"capitolino, na"
"capitoso, sa"
"capitulado, da"
"capitán, na"
"capocho, cha"
"caporal, la"
"capotero, ra"
"capotudo, da"
"caprario, ria"
"caprichoso, sa"
"caprichudo, da"
"capricorniano, na"
"capricultor, ra"
"caprifoliáceo, a"
"caprino, na"
"caprípedo, da"
"captador, ra"
"captatorio, ria"
"captivo, va"
"captor, ra"
"capuano, na"
"capuchino, na"
"capullo, lla"
"caquetío, a"
"caquéctico, ca"
"caquéxico, ca"
"carabero, ra"
"carabobeño, ña"
"carachento, ta"
"carachoso, sa"
"caracolero, ra"
"caracterizado, da"
"caracterizador, ra"
"caracterológico, ca"
"característico, ca"
"caracterólogo, ga"
"carado, da"
"carajito, ta"
"carajo, ja"
"carajote, ta"
"caramanchelero, ra"
"carambanado, da"
"carambolero, ra"
"caramelero, ra"
"caramilloso, sa"
"caranaveño, ña"
"carantoñero, ra"
"carantón, na"
"carapachayo, ya"
"caraqueño, ña"
"cararoso, sa"
"caratejo, ja"
"caratoso, sa"
"caratulado, da"
"caratulero, ra"
"caravelino, na"
"carbonario, ria"
"carbonatado, da"
"carbonero, ra"
"carbonoso, sa"
"carbonífero, ra"
"carboxílico, ca"
"carbuncoso, sa"
"carbónico, ca"
"carcachento, ta"
"carcamán, na"
"carcelario, ria"
"carcelero, ra"
"carcinogénico, ca"
"carcinológico, ca"
"carcinógeno, na"
"carcomiento, ta"
"carcoso, sa"
"cardador, ra"
"cardenalicio, cia"
"cardiaco, ca"
"cardio-, -cardio"
"cardiocirujano, na"
"cardiológico, ca"
"cardiorrespiratorio, ria"
"cardiotónico, ca"
"cardiáceo, a"
"cardiálgico, ca"
"cardiólogo, ga"
"carduzador, ra"
"cardíaco, ca"
"cardítico, ca"
"careador, ra"
"carelio, lia"
"carenciado, da"
"carero, ra"
"careto, ta"
"cargado, da"
"cargador, ra"
"cargoso, sa"
"carguero, ra"
"carguillero, ra"
"carhuacino, na"
"cariacedo, da"
"cariacontecido, da"
"cariacuchillado, da"
"cariado, da"
"cariaguileño, ña"
"carialzado, da"
"cariampollado, da"
"cariancho, cha"
"caribello, lla"
"caribeño, ña"
"caricato, ta"
"caricaturesco, ca"
"carichato, ta"
"caricioso, sa"
"caricáceo, a"
"caridelantero, ra"
"cariduro, ra"
"carifruncido, da"
"carigordo, da"
"cariharto, ta"
"carilampiño, ña"
"carilargo, ga"
"carilimpio, pia"
"carilindo, da"
"carilleno, na"
"carillo, lla"
"carilucio, cia"
"carinegro, gra"
"carininfo, fa"
"cario, ria"
"cariocariáceo, a"
"cariocinético, ca"
"cariofileo, a"
"cariofiláceo, a"
"cariogénico, ca"
"carioso, sa"
"cariparejo, ja"
"carirraído, da"
"carirredondo, da"
"carismático, ca"
"caristio, tia"
"caritativo, va"
"cariñoso, sa"
"cariógeno, na"
"carlancón, na"
"carlovingio, gia"
"carmelitano, na"
"carmenador, ra"
"carminativo, va"
"carminoso, sa"
"carmíneo, a"
"carnavalero, ra"
"carnavalesco, ca"
"carnaválico, ca"
"carneador, ra"
"carneruno, na"
"carnicero, ra"
"carniseco, ca"
"carnoso, sa"
"carnudo, da"
"carnívoro, ra"
"caro, ra"
"carolinense, sa"
"carolingio, gia"
"carolino, na"
"caronchoso, sa"
"caroquero, ra"
"caroreño, ña"
"caroñoso, sa"
"carpetano, na"
"carpetero, ra"
"carpetovetónico, ca"
"carpeño, ña"
"carpiano, na"
"carpintero, ra"
"carpófago, ga"
"carracero, ra"
"carraco, ca"
"carranclo, cla"
"carranclón, na"
"carrancudo, da"
"carrascoso, sa"
"carraspeño, ña"
"carraspiento, ta"
"carrasposo, sa"
"carrasqueño, ña"
"carrañoso, sa"
"carrañón, na"
"carredano, na"
"carretillero, ra"
"carretonero, ra"
"carrilano, na"
"carrilero, ra"
"carrilludo, da"
"carro, rra"
"carrocero, ra"
"carroñero, ra"
"carroño, ña"
"carroñoso, sa"
"carrubio, bia"
"carrujado, da"
"cartagenero, ra"
"cartaginés, sa"
